#C  data file comments go here
1978 #_styr
2010 #_endyr
4 #_nseas
3 3 3 3 #_months/season
1 #_spawn_seas
7 #_Nfleet
7 #_Nsurveys
1 #_N_areas
SPTRAWL7%TRAWLOTH%FRNEP8%SPTRAWL8%GILLNET%LONGLINE%OTHERS%EVHOE%RESSGASCQ1%RESSGASCQ2%RESSGASCQ3%RESSGASCQ4%PORCUPINE%IGFS
 -1 -1 -1 -1 -1 -1 -1 0.5 0.5 0.5 0.5 0.5 0.9 0.5#_surveytiming_in_season
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 #_area_assignments_for_each_fishery_and_survey
 1 1 1 1 1 1 1 #_units of catch:  1=bio; 2=num
 0.1 0.1 0.1 0.1 0.1 0.1 0.1 #_se of log(catch) only used for init_eq_catch and for Fmethod 2 and 3
1 #_Ngenders
15 #_Nages

9859 15011  2381 13284  2395  3591  7043 #CF _init_equil_catch_for_each_fishery (average 10 years: 1978-1982)

132 #_N_lines_of_catch_to_read
#_catch_biomass(mtons):_columns_are_fisheries,year,season
#11158	12356	2015	15849	1751	1420	6003	1978	5
#_year seas index obs se(log) (!! FOR RESSGASC, CV are set to 0.15!!)

################################
## EVHOE:
1997	4	8	59.83	  0.119908658
1998	4	8	53.56	  0.103160331
1999	4	8	52.18	  0.145856802
2000	4	8	42.05	  0.235917979
2001	4	8	75.75	  0.129862391
2002	4	8	127.10	0.094289998
2003	4	8	45.87	  0.108874469
2004	4	8	176.15	0.13332527
2005	4	8	68.80	  0.101611877
2006	4	8	76.75	  0.110268439
2007	4	8	143.83	0.087643425
2008	4	8	190.57	0.088251482
2009	4	8	70.65		0.112172753
2010	4	8	72.88	0.144143734

################################
## RESSGASCQ1 TO RESSGASCQ4:
1985	1	9	  1557.32	0.14916638
1985	2	10	6048.14	0.14916638
1985	3	11	4576.86	0.14916638
1985	4	12	3940.08	0.14916638
1986	1	9	  5608.68	0.14916638
1986	2	10	4774.29	0.14916638
1986	3	11	6182.61	0.14916638
1986	4	12	1232.42	0.14916638
1987	1	9	  1843.39	0.14916638
1987	2	10	4884.72	0.14916638
1987	3	11	4716.56	0.14916638
1987	4	12	3527.33	0.14916638
1988	1	9	  1869.12	0.14916638
1988	2	10	6369.42	0.14916638
1988	3	11	4092.68	0.14916638
1988	4	12	2820.19	0.14916638
1989	1	9	  1240.04	0.14916638
1989	2	10	7931.25	0.14916638
1989	3	11	3200.38	0.14916638
1989	4	12	2254.87	0.14916638
1990	1	9	  1260.45	0.14916638
1990	2	10	6805.59	0.14916638
1990	3	11	4985.03	0.14916638
1990	4	12	1926.46	0.14916638
1991	1	9	  1761.17	0.14916638
1991	2	10	5370.88	0.14916638
1991	3	11	2504.52	0.14916638
1991	4	12	1393.49	0.14916638
1992	1	9	  1910.86	0.14916638
1992	2	10	3553.04	0.14916638
1992	3	11	2397.50	0.14916638
1992	4	12	692.38	0.14916638
1993	1	9	  2801.30	0.14916638
1993	2	10	2479.24	0.14916638
1993	3	11	3245.25	0.14916638
1993	4	12	1588.43	0.14916638
1994	1	9	  1288.08	0.14916638
1994	2	10	6921.24	0.14916638
1994	3	11	4373.93	0.14916638
1994	4	12	1215.50	0.14916638
1995	1	9	  854.48	0.14916638
1995	2	10	5994.61	0.14916638
1995	3	11	4394.59	0.14916638
1995	4	12	1470.34	0.14916638
1996	1	9	  1136.45	0.14916638
1996	2	10	1912.67	0.14916638
1996	3	11	3917.41	0.14916638
1996	4	12	998.18	0.14916638
1997	1	9	  2358.01	0.14916638
1997	2	10	3629.88	0.14916638
1997	3	11	3230.14	0.14916638
1997	4	12	1573.48	0.14916638
1998	2	10	1832.87	0.14916638
1998	4	12	1013.42	0.14916638
1999	2	10	1673.18	0.14916638
1999	4	12	2304.14	0.14916638
2000	2	10	2052.29	0.14916638
2000	4	12	766.14	0.14916638
2001	2	10	3257.82	0.14916638
2001	4	12	4206.38	0.14916638
################################
## PORCUPINE:
2001	3 13  11.37	  0.18412506
2002	3 13  11.09	  0.13516605
2003	3 13  19.45	  0.150786397
2004	3 13  19.38	  0.285044292
2005	3 13  23.20	  0.181259558
2006	3 13  28.51	  0.319214267
2007	3 13  28.53	  0.128998579
2008	3 13  34.05	  0.185237037
2009	3 13  53.22	  0.157847698
2010	3 13  42.64	  0.07243838

################################
##IGFS
2003	4	14	24.35	0.126775461
2004	4	14	73.73	0.2158762
2005	4	14	121.04	0.48175089
2006	4	14	64.06	0.200111882
2007	4	14	88.15	0.111558782
2008	4	14	162.18	0.125826314
2009	4	14	59.44	0.12080743
2010	4	14	84.71	0.1611

1 #_discard_type (1=bio or num; 2=fraction)
103 #_N_discard_obs
################################
## FLEET 1: SPTRAWL7
-1988	2	1	0	0.5
1988	3	1	0.7	0.5
1988	4	1	1.5	0.5
1989	1	1	39.5	0.5
1989	2	1	28.3	0.5
1989	3	1	1	0.5
1989	4	1	4	0.5
1994	1	1	68.2	0.5
1994	2	1	237.6	0.5
1994	3	1	36.1	0.5
1994	4	1	14.3	0.5
1999	3	1	136.5	0.5
1999	4	1	212.1	0.5
2000	1	1	33.3	0.5
2000	2	1	1.0	0.5
2000	3	1	43.5	0.5
2000	4	1	4.8	0.5
2003	2	1	203.1	0.5
2003	3	1	261.4	0.5
2003	4	1	252.0	0.5
2004	1	1	163.0	0.5
2004	2	1	750.1	0.5
2004	3	1	4.6	0.5
2004	4	1	116.2	0.5
2005	1	1	146.3	0.5
2005	2	1	586.0	0.5
2005	3	1	242.9	0.5
2005	4	1	555.3	0.5
2006	1	1	260.7	0.5
2006	2	1	96.1	0.5
2006	3	1	324.5	0.5
2007	1	1	207.4	0.5
2007	2	1	44.2	0.5
2007	3	1	47.5	0.5
2007	4	1	237.6	0.5
2008	1	1	376.8	0.5
2008	2	1	164.4	0.5
2008	3	1	291.5	0.5
2008	4	1	879.7	0.5
2009	1	1	172.2	0.5
2009	2	1	573.1	0.5
2009	3	1	775.4	0.5
2009	4	1	489.1	0.5
2010	1	1	789.083	0.5
2010	2	1	914.525	0.5
2010	3	1	1367.137	0.5
2010	4	1	2602.956	0.5

################################
## FLEET 3: FRNEP8
2003	1	3	278.1565527	0.5
2003	2	3	274.6399081	0.5
2003	3	3	360.9544048	0.5
2003	4	3	121.2491344	0.5
2004	1	3	105.2589721	0.5
2004	2	3	194.1077996	0.5
2004	3	3	383.4552328	0.5
2004	4	3	676.1779955	0.5
2005	1	3	425.5815429	0.5
2005	2	3	594.8323153	0.5
2005	3	3	436.3240058	0.5
2005	4	3	140.262136	0.5
2006	1	3	83.28197797	0.5
2006	2	3	152.5509371	0.5
2006	3	3	191.8553612	0.5
2006	4	3	104.3117238	0.5
2007	1	3	175.9872556	0.5
2007	2	3	110.2879148	0.5
2007	3	3	343.713154	0.5
2007	4	3	137.0116756	0.5
2008	1	3	88.20328599	0.5
2008	2	3	279.0781561	0.5
2008	3	3	299.1518726	0.5
2008	4	3	191.5666853	0.5
2009	1	3	142.5548889	0.5
2009	2	3	2849.62828	0.5
2009	3	3	1078.6743	0.5
2009	4	3	211.999725	0.5
2010	1	3	34.29274667	0.5
2010	2	3	195.2670367	0.5
2010	3	3	224.8855281	0.5
2010	4	3	271.5818121	0.5


################################
## FLEET 4: SPTRAWL8
2005	1	4	208.9329951	0.5
2005	2	4	73.88470938	0.5
2005	3	4	274.0933367	0.5
2005	4	4	117.9091678	0.5
2006	1	4	60.8631855	0.5
2006	2	4	73.9254058	0.5
2006	3	4	13.597833	0.5
2006	4	4	115.0278303	0.5
2007	1	4	84.68182799	0.5
2007	2	4	133.5617724	0.5
2007	3	4	94.53337141	0.5
2007	4	4	194.9350101	0.5
2008	1	4	143.6466433	0.5
2008	2	4	81.85650649	0.5
2008	3	4	29.24698618	0.5
2008	4	4	92.39015571	0.5
2009	1	4	262	0.5
2009	2	4	207	0.5
2009	3	4	48	0.5
2009	4	4	62	0.5
2010	1	4	15	0.5
2010	2	4	47	0.5
2010	3	4	13	0.5
2010	4	4	25	0.5

0 #_N_meanbodywt_obs

3 # length bin method: 1=use databins; 2=generate from binwidth,min,max below; 3=read vector
73 # number of population length bins to be read
1 2 3 4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100 110 120 130

-.001 #_comp_tail_compression
1e-007 #_add_to_comp
0 #_combine males into females at or below this bin number
67 #_N_LengthBins
4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100

1098 #_N_Length_obs
#Yr Seas Flt/Svy Gender Part Nsamp datavector(female-male)

############################################################################
############################################################################
#####  LANDINGS OF COMMERCIAL FLEETS (1 TO 7), ORDERED BY YEAR AND QUARTER:
############################################################################
############################################################################

#########################################
#########################################
##  LANDINGS 1978:
#########################################
#########################################
1978	1	1	0	2	-9999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002189391	0.002189391	0.002189391	0.002189391	0.002189391	0.011142755	0.011142755	0.011142755	0.011142755	0.011142755	0.023798505	0.023798505	0.023798505	0.023798505	0.023798505	0.083588466	0.083588466	0.083196867	0.082805269	0.082805269	0.064222143	0.064222143	0.050177999	0.036133855	0.036133855	0.021146315	0.021146315	0.016731933	0.012317551	0.012317551	0.010929156	0.010929156	0.008508366	0.006087576	0.006087576	0.003381986	0.003381986	0.00249199	0.001601994	0.001601994	0.001708793	0.001708793	0.001388394	0.001067996	0.001067996	0.001868993
1978	2	1	0	2	-50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002189391	0.002189391	0.002189391	0.002189391	0.002189391	0.011142755	0.011142755	0.011142755	0.011142755	0.011142755	0.023798505	0.023798505	0.023798505	0.023798505	0.023798505	0.083588466	0.083588466	0.083196867	0.082805269	0.082805269	0.064222143	0.064222143	0.050177999	0.036133855	0.036133855	0.021146315	0.021146315	0.016731933	0.012317551	0.012317551	0.010929156	0.010929156	0.008508366	0.006087576	0.006087576	0.003381986	0.003381986	0.00249199	0.001601994	0.001601994	0.001708793	0.001708793	0.001388394	0.001067996	0.001067996	0.001868993
1978	3	1	0	2	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002189391	0.002189391	0.002189391	0.002189391	0.002189391	0.011142755	0.011142755	0.011142755	0.011142755	0.011142755	0.023798505	0.023798505	0.023798505	0.023798505	0.023798505	0.083588466	0.083588466	0.083196867	0.082805269	0.082805269	0.064222143	0.064222143	0.050177999	0.036133855	0.036133855	0.021146315	0.021146315	0.016731933	0.012317551	0.012317551	0.010929156	0.010929156	0.008508366	0.006087576	0.006087576	0.003381986	0.003381986	0.00249199	0.001601994	0.001601994	0.001708793	0.001708793	0.001388394	0.001067996	0.001067996	0.001868993
1978	4	1	0	2	-9998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002189391	0.002189391	0.002189391	0.002189391	0.002189391	0.011142755	0.011142755	0.011142755	0.011142755	0.011142755	0.023798505	0.023798505	0.023798505	0.023798505	0.023798505	0.083588466	0.083588466	0.083196867	0.082805269	0.082805269	0.064222143	0.064222143	0.050177999	0.036133855	0.036133855	0.021146315	0.021146315	0.016731933	0.012317551	0.012317551	0.010929156	0.010929156	0.008508366	0.006087576	0.006087576	0.003381986	0.003381986	0.00249199	0.001601994	0.001601994	0.001708793	0.001708793	0.001388394	0.001067996	0.001067996	0.001868993
